rank,name,rating,votes,year,country,genre
70,音乐之声,9.1,653604,1965,['美国'],"['剧情', '传记', '爱情', '歌舞']"
71,西西里的美丽传说,8.9,1052073,2000,"['意大利', '美国']","['剧情', '战争', '情色']"
72,阿凡达,8.8,1515552,2009,['美国'],"['动作', '科幻', '冒险']"
73,功夫,8.9,1261073,2004,"['中国大陆', '中国香港']","['动作', '喜剧', '犯罪', '奇幻']"
74,看不见的客人,8.8,1379827,2016,['西班牙'],"['剧情', '犯罪', '悬疑', '惊悚']"
75,哈利·波特与阿兹卡班的囚徒,9.0,839906,2004,"['英国', '美国']","['奇幻', '冒险']"
76,拯救大兵瑞恩,9.1,695720,1998,['美国'],"['剧情', '战争']"
77,小鞋子,9.2,444115,1997,['伊朗'],"['剧情', '儿童', '家庭']"
78,沉默的羔羊,8.9,970672,1991,['美国'],"['剧情', '犯罪', '惊悚']"
79,飞越疯人院,9.1,582876,1975,['美国'],['剧情']
80,布达佩斯大饭店,8.9,1032366,2014,"['美国', '德国', '英国']","['剧情', '喜剧', '冒险']"
81,蝴蝶效应,8.9,1018636,2004,"['美国', '加拿大']","['剧情', '悬疑', '科幻', '惊悚']"
82,禁闭岛,8.9,1063138,2010,['美国'],"['剧情', '悬疑', '惊悚']"
83,致命魔术,8.9,927074,2006,"['英国', '美国']","['剧情', '悬疑', '惊悚']"
84,心灵捕手,9.0,781973,1997,['美国'],['剧情']
85,低俗小说,8.9,912919,1994,['美国'],"['剧情', '喜剧', '犯罪']"
86,超脱,9.0,681117,2011,['美国'],['剧情']
87,摩登时代,9.3,329680,1936,['美国'],"['剧情', '喜剧', '爱情']"
88,哈利·波特与密室,8.9,865467,2002,"['英国', '美国']","['奇幻', '冒险']"
89,喜剧之王,8.8,1044810,1999,['中国香港'],"['喜剧', '剧情', '爱情']"
90,春光乍泄,9.0,681700,1997,"['中国香港', '日本', '韩国']","['剧情', '爱情', '同性']"
91,致命ID,8.9,902362,2003,['美国'],"['剧情', '悬疑', '惊悚']"
92,杀人回忆,8.9,792433,2003,['韩国'],"['剧情', '动作', '犯罪', '悬疑', '惊悚']"
93,海豚湾,9.3,373581,2009,['美国'],['纪录片']
94,美国往事,9.1,450415,1984,"['美国', '意大利']","['犯罪', '剧情']"
95,一一,9.1,457761,2000,"['中国台湾', '日本']","['剧情', '爱情', '家庭']"
96,加勒比海盗,8.8,927383,2003,['美国'],"['动作', '冒险', '奇幻']"
97,红辣椒,9.0,531567,2006,['日本'],"['动画', '悬疑', '科幻', '惊悚']"
98,七宗罪,8.8,1012574,1995,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
99,唐伯虎点秋香,8.7,1171472,1993,['中国香港'],"['喜剧', '爱情', '古装']"
100,狩猎,9.1,440695,2012,"['丹麦', '瑞典']",['剧情']
101,7号房的礼物,8.9,599695,2013,['韩国'],"['剧情', '喜剧', '家庭']"
102,甜蜜蜜,8.9,632137,1996,['中国香港'],"['剧情', '爱情']"
103,蝙蝠侠：黑暗骑士崛起,8.9,780647,2012,"['美国', '英国']","['剧情', '动作', '科幻', '犯罪', '惊悚']"
104,被嫌弃的松子的一生,8.8,748682,2006,['日本'],"['剧情', '歌舞']"
105,爱在黎明破晓前,8.8,755795,1995,"['美国', '奥地利', '瑞士']","['剧情', '爱情']"
106,超能陆战队,8.8,1098535,2014,['美国'],"['喜剧', '动作', '科幻', '动画', '冒险']"
107,寄生虫,8.8,1482036,2019,['韩国'],['剧情']
108,第六感,8.9,607311,1999,['美国'],"['剧情', '悬疑', '惊悚']"
109,天书奇谭,9.2,307693,2021,['中国大陆'],"['动画', '奇幻']"
110,重庆森林,8.8,882732,1994,['中国香港'],"['剧情', '爱情']"
111,爱在日落黄昏时,8.9,619377,2004,"['美国', '法国']","['剧情', '爱情']"
112,幽灵公主,8.9,567796,1997,['日本'],"['动画', '奇幻', '冒险']"
113,入殓师,8.9,720492,2008,['日本'],['剧情']
114,剪刀手爱德华,8.7,1091442,1990,['美国'],"['剧情', '爱情', '奇幻']"
115,断背山,8.8,753069,2005,"['美国', '加拿大']","['剧情', '爱情', '同性', '家庭']"
116,勇敢的心,8.9,588577,1995,['美国'],"['动作', '传记', '剧情', '历史', '战争']"
117,菊次郎的夏天,8.9,647462,1999,['日本'],"['剧情', '喜剧']"
118,未麻的部屋,9.1,395362,1997,['日本'],"['剧情', '犯罪', '动画', '悬疑', '惊悚']"
119,借东西的小人阿莉埃蒂,8.9,600764,2010,['日本'],"['动画', '奇幻', '冒险']"
120,哈利·波特与火焰杯,8.8,756335,2005,"['英国', '美国']","['悬疑', '奇幻', '冒险']"
121,茶馆,9.6,185520,1982,['中国大陆'],"['剧情', '历史']"
122,消失的爱人,8.7,1033139,2014,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
123,时空恋旅人,8.8,747778,2013,"['英国', '美国']","['喜剧', '爱情', '奇幻']"
124,无人知晓,9.1,355657,2004,['日本'],['剧情']
125,倩女幽魂,8.8,789917,1987,['中国香港'],"['爱情', '奇幻', '武侠', '古装']"
126,阳光灿烂的日子,8.8,665114,1994,"['中国大陆', '中国香港']","['剧情', '爱情']"
127,完美的世界,9.1,344874,1993,['美国'],"['剧情', '犯罪']"
128,头脑特工队,8.8,743410,2015,['美国'],"['喜剧', '动画', '冒险']"
129,天使爱美丽,8.7,997062,2001,"['法国', '德国']","['剧情', '喜剧', '爱情']"
130,小森林 夏秋篇,9.0,455775,2014,['日本'],['剧情']
131,驯龙高手,8.8,817790,2010,['美国'],"['动画', '奇幻', '冒险']"
132,新世界,8.9,497570,2013,['韩国'],"['剧情', '犯罪']"
133,请以你的名字呼唤我,8.8,787886,2017,"['意大利', '法国', '巴西', '美国']","['剧情', '爱情', '同性']"
134,侧耳倾听,8.9,500940,1995,['日本'],"['剧情', '爱情', '动画']"
135,怪兽电力公司,8.8,735619,2001,['美国'],"['儿童', '喜剧', '动画', '奇幻', '冒险']"
136,傲慢与偏见,8.7,876654,2005,"['法国', '英国', '美国']","['剧情', '爱情']"
137,教父3,9.0,410545,1990,['美国'],"['剧情', '犯罪']"
138,玩具总动员3,8.9,564694,2010,['美国'],"['喜剧', '动画', '奇幻', '冒险']"
139,一个叫欧维的男人决定去死,8.9,534715,2015,['瑞典'],['剧情']
140,幸福终点站,8.8,616188,2004,['美国'],"['喜剧', '剧情', '爱情']"
141,色，戒,8.7,908827,2007,"['中国台湾', '中国大陆', '美国', '中国香港']","['剧情', '爱情', '情色']"
142,小森林 冬春篇,9.0,405669,2015,['日本'],['剧情']
143,被解救的姜戈,8.8,660551,2012,['美国'],"['剧情', '动作', '西部', '冒险']"
144,釜山行,8.6,1296040,2016,['韩国'],"['动作', '惊悚', '灾难']"
145,哪吒闹海,9.2,289578,1979,['中国大陆'],"['冒险', '动画', '奇幻']"
146,神偷奶爸,8.7,1012515,2010,"['美国', '法国']","['喜剧', '动画', '冒险']"
147,九品芝麻官,8.8,753688,1994,"['中国香港', '中国大陆']","['剧情', '喜剧', '古装']"
148,花样年华,8.8,718871,2000,['中国香港'],"['剧情', '爱情']"
149,萤火之森,8.8,585150,2011,['日本'],"['剧情', '爱情', '动画', '奇幻']"
150,告白,8.8,715814,2010,['日本'],"['剧情', '悬疑']"
151,喜宴,9.0,404603,1993,"['中国台湾', '美国']","['剧情', '喜剧', '爱情', '同性', '家庭']"
152,玛丽和马克思,9.0,444596,2009,"['澳大利亚', '美国']","['剧情', '喜剧', '动画']"
153,模仿游戏,8.8,697388,2014,"['英国', '美国']","['剧情', '传记', '战争', '同性']"
154,头号玩家,8.6,1460523,2018,['美国'],"['动作', '科幻', '冒险']"
155,大鱼,8.8,605561,2003,['美国'],"['剧情', '爱情', '奇幻', '冒险']"
156,七武士,9.3,219745,1954,['日本'],"['动作', '冒险', '剧情']"
157,射雕英雄传之东成西就,8.7,690626,1993,['中国香港'],"['喜剧', '奇幻', '武侠', '古装']"
158,惊魂记,9.0,334253,1960,['美国'],"['悬疑', '惊悚', '恐怖']"
159,我是山姆,9.0,362763,2001,['美国'],"['剧情', '家庭']"
160,血战钢锯岭,8.7,831187,2016,"['澳大利亚', '美国']","['剧情', '传记', '历史', '战争']"
