rank,name,rating,votes,year,country,genre
70,音乐之声,9.1,649983,1965,['美国'],"['剧情', '传记', '爱情', '歌舞']"
71,看不见的客人,8.8,1373430,2016,['西班牙'],"['剧情', '犯罪', '悬疑', '惊悚']"
72,西西里的美丽传说,8.9,1047571,2000,"['意大利', '美国']","['剧情', '战争', '情色']"
73,阿凡达,8.8,1507718,2009,['美国'],"['动作', '科幻', '冒险']"
74,功夫,8.9,1251216,2004,"['中国大陆', '中国香港']","['动作', '喜剧', '犯罪', '奇幻']"
75,拯救大兵瑞恩,9.1,692654,1998,['美国'],"['剧情', '战争']"
76,哈利·波特与阿兹卡班的囚徒,9.0,833177,2004,"['英国', '美国']","['奇幻', '冒险']"
77,小鞋子,9.2,442178,1997,['伊朗'],"['剧情', '儿童', '家庭']"
78,飞越疯人院,9.1,581060,1975,['美国'],['剧情']
79,沉默的羔羊,8.9,965882,1991,['美国'],"['剧情', '犯罪', '惊悚']"
80,布达佩斯大饭店,8.9,1026720,2014,"['美国', '德国', '英国']","['剧情', '喜剧', '冒险']"
81,蝴蝶效应,8.9,1013456,2004,"['美国', '加拿大']","['剧情', '悬疑', '科幻', '惊悚']"
82,禁闭岛,8.9,1057891,2010,['美国'],"['剧情', '悬疑', '惊悚']"
83,致命魔术,8.9,922939,2006,"['英国', '美国']","['剧情', '悬疑', '惊悚']"
84,心灵捕手,9.0,778565,1997,['美国'],['剧情']
85,超脱,9.0,676450,2011,['美国'],['剧情']
86,低俗小说,8.9,908431,1994,['美国'],"['剧情', '喜剧', '犯罪']"
87,摩登时代,9.3,327978,1936,['美国'],"['剧情', '喜剧', '爱情']"
88,喜剧之王,8.8,1039680,1999,['中国香港'],"['喜剧', '剧情', '爱情']"
89,哈利·波特与密室,8.9,858661,2002,"['英国', '美国']","['奇幻', '冒险']"
90,春光乍泄,9.0,678470,1997,"['中国香港', '日本', '韩国']","['剧情', '爱情', '同性']"
91,致命ID,8.9,897670,2003,['美国'],"['剧情', '悬疑', '惊悚']"
92,杀人回忆,8.9,788118,2003,['韩国'],"['剧情', '动作', '犯罪', '悬疑', '惊悚']"
93,海豚湾,9.3,372703,2009,['美国'],['纪录片']
94,美国往事,9.1,448388,1984,"['美国', '意大利']","['犯罪', '剧情']"
95,一一,9.1,454052,2000,"['中国台湾', '日本']","['剧情', '爱情', '家庭']"
96,加勒比海盗,8.8,923023,2003,['美国'],"['动作', '冒险', '奇幻']"
97,红辣椒,9.0,528068,2006,['日本'],"['动画', '悬疑', '科幻', '惊悚']"
98,七宗罪,8.8,1007773,1995,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
99,唐伯虎点秋香,8.7,1164783,1993,['中国香港'],"['喜剧', '爱情', '古装']"
100,狩猎,9.1,437355,2012,"['丹麦', '瑞典']",['剧情']
101,7号房的礼物,8.9,596864,2013,['韩国'],"['剧情', '喜剧', '家庭']"
102,甜蜜蜜,8.9,627292,1996,['中国香港'],"['剧情', '爱情']"
103,蝙蝠侠：黑暗骑士崛起,8.9,776913,2012,"['美国', '英国']","['剧情', '动作', '科幻', '犯罪', '惊悚']"
104,被嫌弃的松子的一生,8.8,746294,2006,['日本'],"['剧情', '歌舞']"
105,爱在黎明破晓前,8.8,751323,1995,"['美国', '奥地利', '瑞士']","['剧情', '爱情']"
106,寄生虫,8.8,1474729,2019,['韩国'],['剧情']
107,超能陆战队,8.8,1092449,2014,['美国'],"['喜剧', '动作', '科幻', '动画', '冒险']"
108,第六感,8.9,604176,1999,['美国'],"['剧情', '悬疑', '惊悚']"
109,天书奇谭,9.2,303125,2021,['中国大陆'],"['动画', '奇幻']"
110,重庆森林,8.8,877699,1994,['中国香港'],"['剧情', '爱情']"
111,爱在日落黄昏时,8.9,616028,2004,"['美国', '法国']","['剧情', '爱情']"
112,入殓师,8.9,717577,2008,['日本'],['剧情']
113,幽灵公主,8.9,565451,1997,['日本'],"['动画', '奇幻', '冒险']"
114,剪刀手爱德华,8.7,1088147,1990,['美国'],"['剧情', '爱情', '奇幻']"
115,断背山,8.8,750392,2005,"['美国', '加拿大']","['剧情', '爱情', '同性', '家庭']"
